Event	ID	Name			Wwise Object Path	Notes
	29352	HenryShootUzi			\Default Work Unit\HenryShootUzi	
	681562510	HenryBazookaFire			\Default Work Unit\HenryBazookaFire	
	898916160	HenryFrenzyShockwave			\Default Work Unit\HenryFrenzyShockwave	
	974165675	HenryPunchSwing			\Default Work Unit\HenryPunchSwing	
	1243470851	HenryBazookaExplosion			\Default Work Unit\HenryBazookaExplosion	
	1338646738	HenrySwordSwing			\Default Work Unit\HenrySwordSwing	
	1528007153	HenryBazookaUnequip			\Default Work Unit\HenryBazookaUnequip	
	1635077218	HenryShootAltPistol			\Default Work Unit\HenryShootAltPistol	
	1846709204	HenryFrenzyReady			\Default Work Unit\HenryFrenzyReady	
	2540911743	HenryBombThrow			\Default Work Unit\HenryBombThrow	
	2832048551	HenrySwordHit			\Default Work Unit\HenrySwordHit	
	2885794362	HenryBazookaEquip			\Default Work Unit\HenryBazookaEquip	
	3326093983	HenryShootPistol			\Default Work Unit\HenryShootPistol	
	3373198172	HenryShootShotgun			\Default Work Unit\HenryShootShotgun	
	3538026739	HenryFrenzyCharge			\Default Work Unit\HenryFrenzyCharge	
	3812426973	HenryDeath			\Default Work Unit\HenryDeath	
	3870790414	HenryUziReload			\Default Work Unit\HenryUziReload	
	4026175974	HenryPunchHit			\Default Work Unit\HenryPunchHit	
	4126244290	HenryBazookaCharge			\Default Work Unit\HenryBazookaCharge	
	4215933494	HenryBombExplosion			\Default Work Unit\HenryBombExplosion	

Game Parameter	ID	Name			Wwise Object Path	Notes
	2450313110	attackSpeed			\Default Work Unit\attackSpeed	
	3673881719	Volume_SFX			\Default Work Unit\Volume_SFX	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	22202804	HenryBazookaExplosion5	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\HenryMod\HenryWwise\.cache\Windows\SFX\HenryBazookaExplosion5_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\Henry\Skills\Bazooka\HenryBazookaExplosion\HenryBazookaExplosion5		44928
	34678498	HenryFrenzyReady2	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\HenryMod\HenryWwise\.cache\Windows\SFX\HenryFrenzyReady2_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\Henry\Skills\Frenzy\HenryFrenzyReady\HenryFrenzyReady2		10056
	74403132	HenryBazookaExplosion2	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\HenryMod\HenryWwise\.cache\Windows\SFX\HenryBazookaExplosion2_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\Henry\Skills\Bazooka\HenryBazookaExplosion\HenryBazookaExplosion2		53831
	89156181	HenryBombExplosion1	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\HenryMod\HenryWwise\.cache\Windows\SFX\HenryBombExplosion1_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\Henry\Skills\Bomb\HenryBombExplosion\HenryBombExplosion1		15079
	114974828	HenryPunchHit4	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\HenryMod\HenryWwise\.cache\Windows\SFX\HenryPunchHit4_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\Henry\Skills\Punch\HenryPunchHit\HenryPunchHit4		9260
	135818091	HenryFrenzyReady3	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\HenryMod\HenryWwise\.cache\Windows\SFX\HenryFrenzyReady3_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\Henry\Skills\Frenzy\HenryFrenzyReady\HenryFrenzyReady3		6509
	153676990	HenryShootPistol2	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\HenryMod\HenryWwise\.cache\Windows\SFX\HenryShootPistol2_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\Henry\Skills\Guns\HenryShootPistol\HenryShootPistol2		46171
	181070935	HenryDeath3	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\HenryMod\HenryWwise\.cache\Windows\SFX\HenryDeath3_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\Henry\HenryDeath\HenryDeath3		20229
	228357819	HenryShootShotgun1	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\HenryMod\HenryWwise\.cache\Windows\SFX\HenryShootShotgun1_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\Henry\Skills\Guns\HenryShootShotgun\HenryShootShotgun1		41856
	252880888	HenryBazookaEquip	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\HenryMod\HenryWwise\.cache\Windows\SFX\HenryBazookaEquip_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\Henry\Skills\Bazooka\HenryBazookaEquip		10746
	267508732	HenryFrenzyShockwave	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\HenryMod\HenryWwise\.cache\Windows\SFX\HenryFrenzyShockwave_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\Henry\Skills\Frenzy\HenryFrenzyShockwave		28727
	294453567	HenryShootShotgun2	E:\Abbas's stuff VII I think\1337 haxx\ror2lol\Chikara ga minegitte kuru\HenryMod\HenryWwise\.cache\Windows\SFX\HenryShootShotgun2_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sfx Mixer\Henry\Skills\Guns\HenryShootShotgun\HenryShootShotgun2		38717
